epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,14.1789,0.71943,0.81294,1.16216,0.68831,0.65,0.85042,0.5322,1.57987,1.4779,1.33995,2.82082e-05,2.82082e-05,2.82082e-05
40,14.4656,0.7731,0.98841,1.1637,0.68831,0.65,0.85042,0.5322,1.57987,1.4779,1.33995,2.84911e-05,2.84911e-05,2.84911e-05
41,14.7594,0.75305,1.10968,1.11085,0.67014,0.65,0.8473,0.5246,1.59744,1.53442,1.35126,2.87504e-05,2.87504e-05,2.87504e-05
42,15.0464,0.91934,1.11014,1.19432,0.67014,0.65,0.8473,0.5246,1.59744,1.53442,1.35126,2.89861e-05,2.89861e-05,2.89861e-05
43,15.3447,1.00981,0.96578,1.51374,0.73374,0.65,0.84849,0.52814,1.5767,1.58163,1.34205,2.91983e-05,2.91983e-05,2.91983e-05
44,15.6355,0.70242,0.89701,1.0953,0.73374,0.65,0.84849,0.52814,1.5767,1.58163,1.34205,2.93869e-05,2.93869e-05,2.93869e-05
45,15.9399,0.66895,1.42546,1.09951,0.72515,0.65,0.7099,0.40122,1.58364,1.60987,1.34921,2.9552e-05,2.9552e-05,2.9552e-05
46,16.309,0.84278,1.032,1.24148,0.72515,0.65,0.7099,0.40122,1.58364,1.60987,1.34921,2.96935e-05,2.96935e-05,2.96935e-05
47,16.6137,0.88725,0.72255,1.26893,0.77484,0.65,0.70475,0.39806,1.59813,1.67509,1.36144,2.98114e-05,2.98114e-05,2.98114e-05
48,16.901,0.77482,1.0194,1.1405,0.77484,0.65,0.70475,0.39806,1.59813,1.67509,1.36144,2.99058e-05,2.99058e-05,2.99058e-05
49,17.2045,1.02128,1.08684,1.37402,0.81126,0.65,0.70343,0.39808,1.56052,1.68632,1.35318,2.99766e-05,2.99766e-05,2.99766e-05
50,17.489,0.65993,0.85754,1.09646,0.81126,0.65,0.70343,0.39808,1.56052,1.68632,1.35318,3.00238e-05,3.00238e-05,3.00238e-05
51,17.78,0.72035,0.90663,1.21711,0.82621,0.64786,0.68285,0.37551,1.58709,1.77912,1.36208,3.00475e-05,3.00475e-05,3.00475e-05
52,18.0596,0.82193,1.65445,1.18116,0.82621,0.64786,0.68285,0.37551,1.58709,1.77912,1.36208,3.00476e-05,3.00476e-05,3.00476e-05
53,18.3389,0.60701,1.02373,1.05635,0.82621,0.64786,0.68285,0.37551,1.58709,1.77912,1.36208,3.00242e-05,3.00242e-05,3.00242e-05
54,18.6364,0.72784,0.97102,1.09696,0.73948,0.65,0.68481,0.35942,1.63985,1.8618,1.38389,2.99772e-05,2.99772e-05,2.99772e-05
55,18.9365,0.69083,1.14317,1.17327,0.73948,0.65,0.68481,0.35942,1.63985,1.8618,1.38389,2.99066e-05,2.99066e-05,2.99066e-05
56,19.2272,0.6838,0.84313,1.22166,0.73948,0.65,0.68481,0.35942,1.63985,1.8618,1.38389,2.98125e-05,2.98125e-05,2.98125e-05
57,19.5364,0.72328,0.67666,1.20787,0.75361,0.48333,0.6846,0.36186,1.62255,1.85965,1.37974,2.96948e-05,2.96948e-05,2.96948e-05
58,19.8252,0.78491,1.10953,1.206,0.75361,0.48333,0.6846,0.36186,1.62255,1.85965,1.37974,2.95535e-05,2.95535e-05,2.95535e-05
59,20.1195,0.73886,0.74402,1.246,0.75361,0.48333,0.6846,0.36186,1.62255,1.85965,1.37974,2.93887e-05,2.93887e-05,2.93887e-05
60,20.4182,0.77796,1.03859,1.30777,0.8072,0.48333,0.58301,0.27375,1.59486,1.89631,1.37939,2.92003e-05,2.92003e-05,2.92003e-05
61,20.7077,0.58259,0.66327,1.05822,0.8072,0.48333,0.58301,0.27375,1.59486,1.89631,1.37939,2.89884e-05,2.89884e-05,2.89884e-05
62,21.0276,0.75387,1.00238,1.29258,0.8072,0.48333,0.58301,0.27375,1.59486,1.89631,1.37939,2.87529e-05,2.87529e-05,2.87529e-05
63,21.3234,0.6939,0.83913,1.17474,0.79792,0.48333,0.55109,0.26386,1.61722,1.92774,1.38607,2.84938e-05,2.84938e-05,2.84938e-05
64,21.6047,0.78402,0.75828,1.06913,0.79792,0.48333,0.55109,0.26386,1.61722,1.92774,1.38607,2.82112e-05,2.82112e-05,2.82112e-05
65,21.8901,0.62208,0.69067,1.04297,0.79792,0.48333,0.55109,0.26386,1.61722,1.92774,1.38607,2.7905e-05,2.7905e-05,2.7905e-05
66,22.1838,0.93288,1.95524,1.32832,0.81011,0.48333,0.54187,0.25407,1.62075,1.97525,1.38936,2.75753e-05,2.75753e-05,2.75753e-05
67,22.4816,0.73524,0.85368,1.15424,0.81011,0.48333,0.54187,0.25407,1.62075,1.97525,1.38936,2.7222e-05,2.7222e-05,2.7222e-05
68,22.7682,0.62711,0.79608,1.04779,0.81011,0.48333,0.54187,0.25407,1.62075,1.97525,1.38936,2.68451e-05,2.68451e-05,2.68451e-05
69,23.0823,0.71822,0.68352,1.27129,0.84205,0.47353,0.53931,0.25912,1.64212,1.98822,1.3958,2.64447e-05,2.64447e-05,2.64447e-05
70,23.3697,1.0463,0.99956,1.45725,0.84205,0.47353,0.53931,0.25912,1.64212,1.98822,1.3958,2.60207e-05,2.60207e-05,2.60207e-05
71,23.6824,0.66397,0.71287,1.15345,0.84205,0.47353,0.53931,0.25912,1.64212,1.98822,1.3958,2.55731e-05,2.55731e-05,2.55731e-05
72,23.978,0.64075,0.96303,1.16872,0.8491,0.46613,0.53927,0.26345,1.70646,2.04126,1.41997,2.5102e-05,2.5102e-05,2.5102e-05
73,24.2826,0.50927,0.59419,1.0587,0.8491,0.46613,0.53927,0.26345,1.70646,2.04126,1.41997,2.46073e-05,2.46073e-05,2.46073e-05
74,24.5659,1.06509,1.80527,1.47478,0.8491,0.46613,0.53927,0.26345,1.70646,2.04126,1.41997,2.40891e-05,2.40891e-05,2.40891e-05
75,24.8722,0.97543,0.90323,1.26417,0.84715,0.4654,0.54404,0.26522,1.68079,2.05527,1.40164,2.35472e-05,2.35472e-05,2.35472e-05
76,25.1663,1.03189,0.97254,1.37936,0.84715,0.4654,0.54404,0.26522,1.68079,2.05527,1.40164,2.29819e-05,2.29819e-05,2.29819e-05
77,25.4507,0.69575,0.64151,1.05476,0.84715,0.4654,0.54404,0.26522,1.68079,2.05527,1.40164,2.23929e-05,2.23929e-05,2.23929e-05
78,25.7447,0.65174,1.0012,1.1178,0.84941,0.4643,0.51481,0.25712,1.71688,2.0895,1.41587,2.17805e-05,2.17805e-05,2.17805e-05
79,26.057,0.88459,1.36998,1.32676,0.84941,0.4643,0.51481,0.25712,1.71688,2.0895,1.41587,2.11444e-05,2.11444e-05,2.11444e-05
80,26.3381,0.6346,0.59846,1.11811,0.84941,0.4643,0.51481,0.25712,1.71688,2.0895,1.41587,2.04848e-05,2.04848e-05,2.04848e-05
81,26.6317,0.79484,0.80803,1.09839,0.84696,0.46327,0.52021,0.2478,1.64948,2.08901,1.39127,1.98016e-05,1.98016e-05,1.98016e-05
82,26.9187,0.4623,0.45303,0.94264,0.84696,0.46327,0.52021,0.2478,1.64948,2.08901,1.39127,1.90949e-05,1.90949e-05,1.90949e-05
83,27.2059,0.67379,0.75662,1.0339,0.84696,0.46327,0.52021,0.2478,1.64948,2.08901,1.39127,1.83646e-05,1.83646e-05,1.83646e-05
84,27.5044,0.79392,1.36784,1.24459,0.84121,0.46359,0.518,0.24685,1.68822,2.12512,1.4089,1.76107e-05,1.76107e-05,1.76107e-05
85,27.7855,0.64466,0.78153,1.18671,0.84121,0.46359,0.518,0.24685,1.68822,2.12512,1.4089,1.68333e-05,1.68333e-05,1.68333e-05
86,28.0712,0.6687,0.85496,1.16824,0.84121,0.46359,0.518,0.24685,1.68822,2.12512,1.4089,1.60323e-05,1.60323e-05,1.60323e-05
87,28.3503,0.62741,0.66953,1.14218,0.84121,0.46359,0.518,0.24685,1.68822,2.12512,1.4089,1.52077e-05,1.52077e-05,1.52077e-05
